created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 21 23:13:05 +0000 2023;1715868840918495299;"@anismatta @gibran_tweet Politikus bunglon.  Pemuja "politik Dinasti" https://t.co/He0Oewzxtv";0;0;0;0;in;1665289147844812800;1715742425761865756;anu318725175311;https://twitter.com/anu318725175311/status/1715868840918495299
Sat Oct 21 23:13:03 +0000 2023;1715868832550867205;"Dilema berat bagi SBY.. Mengapa posisi Gibran begitu penting??";0;0;0;0;in;178938870;1715868832550867205;lovenoww;https://twitter.com/lovenoww/status/1715868832550867205
Sat Oct 21 23:12:56 +0000 2023;1715868804058845529;"@Fahrihamzah @gibran_tweet Demi apa coba........ Sgitux kah kedunguan ini dipertontonkan";0;0;0;0;in;1606180338426056704;1715741272831676699;elburuny;https://twitter.com/elburuny/status/1715868804058845529
Sat Oct 21 23:12:52 +0000 2023;1715868787881439338;"@gibran_tweet Ati2 mas, kualat! Itu aja, jgn permainkan semesta";0;0;0;1;in;1254290836591788032;1715757265888960853;giojen_bigwin;https://twitter.com/giojen_bigwin/status/1715868787881439338
Sat Oct 21 23:12:52 +0000 2023;1715868787373916378;"@triwul82 Itu yg d rasakan oposisi selama ini,,  Tp skr kami balik dukung gibran,, biar kalian merasakan apa yg kami rasakan wkwkwkkwk..";0;0;0;0;in;1657769430934523906;1715647595731972296;PetaniSawitKT;https://twitter.com/PetaniSawitKT/status/1715868787373916378
Sat Oct 21 23:12:51 +0000 2023;1715868782642741709;"masuk akal ada yg bilang " ngapain ikut demo toh kemungkinan menangnya prabowo gibran kecil, mending mantau aja". 🤔🤔";0;0;0;0;in;1594274770568482816;1715868782642741709;rakyatbiasa33;https://twitter.com/rakyatbiasa33/status/1715868782642741709
Sat Oct 21 23:12:47 +0000 2023;1715868765513257393;"@a12em4 @Fahrihamzah @gibran_tweet Demi kekuasaan apapun dilakukan, walau harus jilat sana jilat sini. Dan kemunafikanpun akan tampak aslinya";0;0;0;0;in;888436870798954496;1715741272831676699;Alhaque44;https://twitter.com/Alhaque44/status/1715868765513257393
Sat Oct 21 23:12:47 +0000 2023;1715868765269942287;"@dekade_08 Kemungkinan besar Gibran tak berani mencalonkan diri sebagai CAWAPRES Prabowo, dan Prabowo (KIM) juga tak berani mencalonkan Gibran sebagai CAWAPRES untuk mendampingi CAPRES Prabowo S. Karena ada ancaman sanksi partai utk anggota yg membangkang sambil memberikan tawaran menteri.";0;0;0;0;in;98419575;1715696970998911082;muh_haddad;https://twitter.com/muh_haddad/status/1715868765269942287
Sat Oct 21 23:12:45 +0000 2023;1715868757804097807;"@KaredokLeunca__ @PartaiGolkar @gibran_tweet @prabowo Makkk....mak... Tapi kabarnya pangeran udah pamitan 😌";0;0;0;0;in;1396810429624504320;1715674350429655171;Mbokayu__;https://twitter.com/Mbokayu__/status/1715868757804097807
Sat Oct 21 23:12:44 +0000 2023;1715868752276066594;"@gibran_tweet Apa layak kita pilih orang spt ini??? Mhn pencerahan.";0;0;0;0;in;1330570458912022528;1715757265888960853;cakyu13;https://twitter.com/cakyu13/status/1715868752276066594
Sat Oct 21 23:12:37 +0000 2023;1715868723456942294;"@Fahrihamzah @gibran_tweet pelaku reformasi yg menolak orba tapi mendukung hal serupa. bahkan lebih parah, ternyata semua karena perut.";0;0;0;0;in;4200117314;1715741272831676699;mstugu;https://twitter.com/mstugu/status/1715868723456942294
Sat Oct 21 23:12:36 +0000 2023;1715868717043884162;"@BangPino__ Ya mas gibran jadi anggota golkar. Nanti kalau sudah jadi wapres, pasti jadi ketua golkar. 😀😀";0;0;0;0;in;1603757503174492160;1715636417853083834;Di4rmenK;https://twitter.com/Di4rmenK/status/1715868717043884162
Sat Oct 21 23:12:28 +0000 2023;1715868684902862956;"Gibran yg sampai detik ini masih sbg kader PDIP hadir di Rapimnas Partai Golkar, apakah ini sinyal/pertanda menyeberang ke partai Golkar ?  Kita tahu Gibran jd kader PDIP belum begitu lama, tp  seperti ada gelagat pindah ke Golkar.  Gibran sekarang seorang pragmatis &amp  oportunis.";1;7;2;11;in;938664737369341952;1715868684902862956;DoankWarto;https://twitter.com/DoankWarto/status/1715868684902862956
Sat Oct 21 23:12:28 +0000 2023;1715868684881908080;"@KompasTV Maksudnya @gibran_tweet yg cengengesan?";0;0;0;0;in;1580892583349301248;1715866195814162613;kopipagi98;https://twitter.com/kopipagi98/status/1715868684881908080
Sat Oct 21 23:12:28 +0000 2023;1715868684621865185;"@gibran_tweet Aku PADAM padamu! Hehe🤞";0;0;0;0;in;974243794030751744;1715757265888960853;Sun_sun1973;https://twitter.com/Sun_sun1973/status/1715868684621865185
Sat Oct 21 23:12:18 +0000 2023;1715868644457250843;"@gibran_tweet Belajar Geopolitik dulu deh. Kalau memang cinta Indonesia. Jadi memilih berdasarkan Geopolitik.";0;0;0;0;in;565020080;1715757265888960853;obedNababaN;https://twitter.com/obedNababaN/status/1715868644457250843
Sat Oct 21 23:12:06 +0000 2023;1715868592812814570;"@Dennysiregar7 @erickthohir Betul banget sy lebih setuju pak Erick dari pada Gibran dulu aja pak SBY anak nya AHY masuk politik di maki2 di bilang belum pantas belum pengalaman giliran skrg yg ini knp malah pada di support pdhl jadi walikota aja baru belum terlihat hasil nya";0;0;0;0;in;806058530788626432;1715721510885982640;Aden76048529;https://twitter.com/Aden76048529/status/1715868592812814570
Sat Oct 21 23:12:05 +0000 2023;1715868587825697234;"@ekowboy2 @ZUL_Hasan @gibran_tweet Ini bahasa palinh bodoh, mau diapakan ini masih permainan catur. Gak bakalan menang junjungan elu si keturunan yaman. Mau dipoles seglowing apapun. Paham gak?";0;0;0;0;in;1467687440160751616;1715580339392020513;Epic44729740;https://twitter.com/Epic44729740/status/1715868587825697234
Sat Oct 21 23:11:56 +0000 2023;1715868552245481768;"@KompasTV @gibran_tweet Golkar isi nya para penjilat kekuasaan...tenggelamkan...";0;0;0;1;in;1326019005925085185;1715627353337106729;akan_semua;https://twitter.com/akan_semua/status/1715868552245481768
Sat Oct 21 23:11:56 +0000 2023;1715868550739661028;"@Dennysiregar7 Gibran tdk cukup pengalaman. Penampilan, bicara, sikapnya juga lugu. Dia itu cuma dimanfaatkan oleh politisi² senior : Prabowo dkk demi pemenangan Pilpres ! Mao dibawa kemana negeri ini kalau Wapresnya tak berwibawa ? Menko², Menteri² . . mana mao respect kpd Wapres seperti ini ?";0;1;0;1;in;125911074;1715702437661557092;pitersim;https://twitter.com/pitersim/status/1715868550739661028
Sat Oct 21 23:11:54 +0000 2023;1715868544087601529;"@tisnawahyudi @genx36545403 @jokowi @gibran_tweet @kaesangp jangan salah, diluar Jawa pemenang banyak propinsi yg PDIP kalah suara, jdi mereka memilih sosok Jokowi, Gibran bisa jadi bisa mengambil suara2 itu, Jawa Tengah suara PDIP pecah, Jawa Timur suara Demokrat bisa menggerogoti, di Jabar n Banten Ganjar bakalan kalah telak.";0;1;0;0;in;1479348623997427713;1715668498939367790;Bruhmoment_2323;https://twitter.com/Bruhmoment_2323/status/1715868544087601529
Sat Oct 21 23:11:53 +0000 2023;1715868538324517245;"@GunRomli @masbutet @jokowi Udahlah tet mulutmu perat perot, dl km agung2kn jkw skrg knp km g konsisten, nanti klo gibran dtg kerumahmu mnta restu, dibawain oleh2 bs berbalik lg omongnmu.";0;0;0;0;in;250643874;1715032858388222074;eddusays;https://twitter.com/eddusays/status/1715868538324517245
Sat Oct 21 23:11:51 +0000 2023;1715868531257143581;"Gibran itu memang luar biasa...  Puisinya terkenal seantero dunia...";0;0;0;0;in;35691362;1715868531257143581;vidinur;https://twitter.com/vidinur/status/1715868531257143581
Sat Oct 21 23:11:43 +0000 2023;1715868498382168371;"@staysaferek @genx36545403 @jokowi @gibran_tweet @kaesangp Beda konteks lah. Saling sindir dlm sebuah kontestasi (apalagi kontestasi politik) itu mah biasa &amp  wajar2 aja. Beda dg yang dilakukan MSP di video tsb. Yg lg diomongin itu adlh sosok Presiden yg dipilih oleh rakyat secara langsung. Dan terlihat sekali gestur JKW sgt tdk nyaman.";0;0;0;0;in;1339754306870726657;1715668498939367790;ansal1979;https://twitter.com/ansal1979/status/1715868498382168371
Sat Oct 21 23:11:43 +0000 2023;1715868498256413110;"Wali Kota Solo, Gibran Rakabuming Raka telah bertemu hampir semua petinggi parpol pendukung Prabowo, kecuali SBY-AHY dan Partai Demokratnya. Apa alasannya? #GibranRakabuming   https://t.co/Yw1NGJqnzp.";0;1;0;1;in;124171593;1715868498256413110;tribunnews;https://twitter.com/tribunnews/status/1715868498256413110
